station,stationid,latitude,longitude
원종종합시장.성곡사거리,212000028,37.51925,126.80505
원종주공아파트,212000238,37.5277667,126.8020167
원종주공아파트,212000250,37.5275833,126.8018833
원종초등학교,212000260,37.5182833,126.8050167
원종하이트,212000200,37.5294167,126.8115
원종하이트,212000188,37.52945,126.81135
원천공원(경유),277102537,37.4886833,126.7460167
위브더스테이트5단지,210000010,37.4985,126.7777333
위브더스테이트9단지,210000571,37.4965333,126.7782667
유림빌라,212000197,37.5234167,126.8113333
유명하이마트,212000356,37.5247167,126.8246333
유명하이마트,212000357,37.5247833,126.8245
유한대학교,211000071,37.4878833,126.8198
유한대학교,211000072,37.48765,126.8201
은데미공원,212000196,37.5209167,126.8117667
은데미공원,212000193,37.5206667,126.8117333
은성아파트,210000423,37.4847667,126.8058833
은하마을.덕유마을,210000041,37.5079333,126.7652667
은하마을.덕유마을,210000291,37.5082333,126.7644667
은하마을.중흥마을,210000055,37.5056667,126.7691833
은하쌍용아파트,210000158,37.50435,126.768
은행단지,212000318,37.5230167,126.8199833
이마트타운옥길점,211000186,37.46075,126.81425
인지슈퍼,211000203,37.4714333,126.7975833
자동차매매단지,210000246,37.4888,126.74755
자동차매매단지,210000245,37.48905,126.7473667
자연생태박물관(경유),277102458,37.5058833,126.8144833
자유시장,211000103,37.4835333,126.7788833
자이.호반베르디움,211000291,37.4624667,126.81235
자이.호반베르디움,211000031,37.4632667,126.8119333
자이아파트,211000241,37.4816167,126.7565167
작동로터리,212000440,37.51835,126.81945
장말.문예사거리,210000489,37.4921167,126.7665167
장미공원,210509700,37.5167833,126.7897333
장미공원앞,210000581,37.5169,126.7899333
장미슈퍼,210000424,37.48425,126.8061167
전진아파트,211000045,37.4735667,126.7707
전진아파트,211000033,37.4733667,126.77065
정도아파트,212000326,37.5251,126.8214833
정도아파트,212000359,37.5249833,126.8213833
정명고(경유),277102366,37.4746833,126.7705
정명고.경기경영고,211000037,37.4755667,126.7740167
정명고.경기경영고,211000042,37.4755167,126.7741
정명고교후문,211000034,37.4757667,126.77045
정명고교후문,211000044,37.4756667,126.77055
정명공원,211000038,37.4763,126.77455
정명공원,211000041,37.4762833,126.7746667
정우슈퍼,211000165,37.4714833,126.7982667
제이드카운티1단지,211000274,37.46735,126.8248333
제이드카운티1단지,211000172,37.467,126.8249833
제이드카운티2단지.헤일라움,211000275,37.4659167,126.8273
제이드카운티2단지.헤일라움,211000185,37.4662,126.8272167
제일주유소,212000313,37.5257,126.77125
제일주유소,212000316,37.5251167,126.7701167
제일주유소,212000122,37.5258667,126.77
조공아파트,211000064,37.4789833,126.8041833
조공아파트,211000079,37.4788167,126.8040333
조마루사거리,210000530,37.4981333,126.7853333
조마루삼거리,210000154,37.4972333,126.792
조마루삼거리,210000136,37.4965333,126.7919833
종로약국,212000039,37.5177333,126.7699667
종로약국,212000036,37.5167833,126.7702833
종합운동장,210000094,37.5012,126.7968833
종합운동장,210000095,37.50285,126.7974167
주공1.뜨란채4단지,211000150,37.4700667,126.8005833
주공2.3단지,211000191,37.47395,126.8050167
주공2.3단지,211000192,37.4739333,126.80435
주공2.뜨란채4단지.소안초등학교,211000153,37.4732333,126.8036667
주공2단지.창영초등학교,211000154,37.4734667,126.8034333
주공뜨란채4단지,211000189,37.4719667,126.8039167
주공뜨란채4단지,211000188,37.4717667,126.8038
중4동행정복지센터.고용노동지청,210000329,37.5063833,126.76335
중4동행정복지센터.고용노동지청,210000042,37.5068333,126.7638167
중동IC(경유),277103184,37.5057667,126.7482667
중동IC(경유),277103185,37.5066667,126.748
중동IC진입(경유),277103186,37.5061,126.7496833
중동시장앞.넘말,210000051,37.4962,126.76525
중동시장앞.넘말,210000221,37.4958833,126.7652333
중동역,211000006,37.4847167,126.7638
